model_id,arm,cycle,state_index,state,occupancy
A,No HPE,8,10,Dead,0.03728281287683975
A,No HPE,9,1,Well no HPE,0.5917419990331557
A,No HPE,9,2,Well with HPE,0.0
A,No HPE,9,3,GI discomfort,0.04619609010669972
A,No HPE,9,4,Unresolved GI discomfort,0.006783762643548094
A,No HPE,9,5,Symptomatic ulcer,0.0007125838859864662
A,No HPE,9,6,Unresolved ulcer,0.00010464088919612395
A,No HPE,9,7,Serious GI event,0.0002732418985063473
A,No HPE,9,8,Unresolved serious GI event,4.0124785007956626e-05
A,No HPE,9,9,Post-event,0.31229593770904684
A,No HPE,9,10,Dead,0.041851619048851985
A,No HPE,10,1,Well no HPE,0.5582307704173286
A,No HPE,10,2,Well with HPE,0.0
